Word,Average Matches
agoge,1.2691145
agone,1.5066955
agons,1.3174946
agood,0.9861771
agria,1.1658747
agrin,1.4008639
agros,1.4414687
agued,1.3356371
agues,1.4427645
aguna,0.9598272
aguti,1.2872571
aheap,1.1654427
ahent,1.538229
ahigh,0.96673864
ahind,1.2332613
ahing,1.2030238
ahint,1.3615551
ahold,1.2868251
ahull,1.0444925
ahuru,1.1153347
aidas,1.1023759
aided,1.2885529
aides,1.5550756
aidoi,1.1226782
aidos,1.3896328
aiery,1.6699784
aigas,1.0721382
aight,1.2535638
ailed,1.5680345
aimed,1.4168466
aimer,1.6185745
ainee,1.3701944
ainga,1.0419006
aioli,1.2427646
aired,1.6496761
airer,1.4933045
airns,1.538229
airth,1.4855292
airts,1.5887688
aitch,1.3174946
aitus,1.424622
aiver,1.5542116
aiyee,1.312743
aizle,1.4233261
ajies,1.4069115
ajiva,0.75075597
ajuga,0.7339093
ajwan,0.7291577
akees,1.2190065
akela,1.2185745
akene,1.1801296
aking,1.1265659
akita,1.050108
akkas,0.75032395
alaap,0.8332613
alack,0.9611231
alamo,1.099784
aland,1.0777538
alane,1.3740821
alang,1.0475162
alans,1.1848812
alant,1.2060475
alapa,0.8349892
alaps,1.0967603
alary,1.2220303
alate,1.424622
alays,1.1274298
albas,1.0583153
albee,1.2483802
alcid,1.3053995
alcos,1.4237581
aldea,1.2911447
alder,1.650108
aldol,1.1235421
aleck,1.4095032
alecs,1.5892009
alefs,1.4850972
aleft,1.5062635
aleph,1.4419006
alews,1.4794817
aleye,1.3153348
alfas,1.0323974
algal,0.8060475
algas,1.0725702
algid,1.2414687
algin,1.3192225
algor,1.4544276
algum,1.1282938
alias,1.2224622
alifs,1.3084233
aline,1.6457883
alist,1.5071274
aliya,1.1347733
alkie,1.4954643
alkos,1.3174946
alkyd,1.099784
alkyl,0.94038874
allee,1.1352051
allel,1.1313175
allis,1.2211663
allod,1.12527
allyl,0.8552916
almah,0.9684665
almas,1.0717063
almeh,1.4211663
almes,1.5244061
almud,1.1585313
almug,1.1282938
alods,1.3900648
aloed,1.5792657
aloes,1.6863931
aloha,1.1295897
aloin,1.4803456
aloos,1.2436285
alowe,1.5032398
altho,1.4151188
altos,1.5183586
alula,0.8730022
alums,1.2656587
alure,1.687689
alvar,1.1019439
alway,0.9399568
amahs,0.9598272
amain,1.0462203
amate,1.2734342
amaut,1.0146868
amban,0.8777538
ambit,1.2043196
ambos,1.1943845
ambry,1.1784017
ameba,1.0954643
ameer,1.3550756
amene,1.2215983
amens,1.4820734
ament,1.5032398
amias,1.0712743
amice,1.45054
amici,0.9952484
amide,1.4168466
amido,1.2514039
amids,1.2276458
amies,1.5239741
amiga,0.9330453
amigo,1.2211663
amine,1.4946004
amino,1.3291577
amins,1.3053995
amirs,1.4293736
amlas,1.0717063
amman,0.762419
ammon,1.0496761
ammos,1.0790497
amnia,1.0410367
amnic,1.2319654
amnio,1.3291577
amoks,1.1663067
amole,1.5481641
amort,1.461771
amour,1.3710583
amove,1.3326133
amowt,1.1840173
amped,1.2868251
ampul,1.1481642
amrit,1.45054
amuck,0.99956805
amyls,1.2483802
anana,0.64362854
anata,0.9313175
ancho,1.2781857
ancle,1.5598272
ancon,1.1157668
andro,1.4423326
anear,1.4514039
anele,1.3727862
anent,1.374946
angas,1.0302376
anglo,1.3304535
anigh,1.2030238
anile,1.6457883
anils,1.4565874
anima,1.0410367
animi,1.0393089
anion,1.2017279
anise,1.6328294
anker,1.5352051
ankhs,1.1481642
ankus,1.1818575
anlas,1.1805615
annal,0.9157667
annas,0.9028078
annat,0.9239741
anoas,1.1913607
anole,1.6570195
anomy,1.2298056
ansae,1.3568034
antae,1.3779697
antar,1.2833693
antas,1.1887689
anted,1.5343412
antes,1.6414686
antis,1.4647949
antra,1.2825054
antre,1.7360691
antsy,1.3654428
anura,1.1917926
anyon,1.1023759
apace,1.199568
apage,1.1356372
apaid,0.9892009
apayd,0.8898488
apays,0.99697626
apeak,1.0889848
apeek,1.1015118
apers,1.6267818
apert,1.6479481
apery,1.5399568
apgar,1.036717
aphis,1.2522678
apian,1.062635
apiol,1.3922247
apish,1.2522678
apism,1.2172786
apode,1.4488121
apods,1.2596112
apoop,0.8462203
aport,1.4825054
appal,0.82678187
appay,0.72699785
appel,1.2794816
appro,1.1956804
appui,1.0203024
appuy,0.92095035
apres,1.6267818
apses,1.2656587
apsis,1.0889848
apsos,1.100216
apted,1.4462203
apter,1.6479481
aquae,1.062203
aquas,0.8730022
araba,0.8825054
araks,1.1161987
arame,1.3468683
arars,1.0289416
arbas,1.1399568
arced,1.5637149
archi,1.3909287
arcos,1.5053996
arcus,1.4120951
ardeb,1.4855292
ardri,1.1935205
aread,1.3736501
areae,1.2203023
areal,1.4937365
arear,1.2194384
areas,1.4807775
areca,1.4064795
aredd,1.3701944
arede,1.3766738
arefy,1.4799136
areic,1.6833693
arene,1.4544276
arepa,1.362419
arere,1.2168467
arete,1.5049676
arets,1.7654427
arett,1.4984881
argal,1.1671706
argan,1.124838
argil,1.4431965
argle,1.6198704
argol,1.4544276
argon,1.4120951
argot,1.462635
argus,1.3481642
arhat,1.2095033
arias,1.3041036
ariel,1.7697624
ariki,1.1218143
arils,1.5805615
ariot,1.612527
arish,1.4643629
arked,1.4574515
arled,1.650108
arles,1.7572354
armed,1.4989201
armer,1.3447084
armet,1.6272138
armil,1.4423326
arnas,1.262203
arnut,1.4773219
aroba,1.162851
aroha,1.2112311
aroid,1.4842333
arpas,1.174082
arpen,1.5974082
arrah,0.9226782
arras,1.0259179
arret,1.499784
arris,1.3019439
arroz,1.0613391
arsed,1.637149
arses,1.4777538
arsey,1.6574514
arsis,1.3010799
artal,1.325702
artel,1.7784017
artic,1.5153347
artis,1.5887688
aruhe,1.5714903
arums,1.3473002
arval,1.1019439
arvee,1.2790496
arvos,1.3762419
aryls,1.4812095
asana,0.9101512
ascon,1.3814255
ascus,1.05054
asdic,1.2924407
ashed,1.4393089
ashes,1.2794816
ashet,1.5676026
asked,1.362851
asker,1.5645789
askoi,1.3170626
askos,1.037581
aspen,1.5028077
asper,1.6267818
aspic,1.2820734
aspie,1.5447084
aspis,1.088553
aspro,1.4613391
assai,0.94427645
assam,0.7935205
asses,1.1179266
assez,1.1326134
assot,1.2401727
aster,1.7654427
astir,1.5887688
astun,1.3827214
asura,1.2211663
asway,0.92699784
aswim,1.1516199
asyla,1.1222463
ataps,1.1049676
ataxy,0.88466525
atigi,1.0907128
atilt,1.2427646
atimy,1.2691145
atlas,1.2311015
atman,1.05054
atmas,1.0799136
atmos,1.3671706
atocs,1.4319655
atoke,1.5149028
atoks,1.325702
atoms,1.3671706
atomy,1.2803456
atony,1.3892008
atopy,1.3010799
atria,1.324406
atrip,1.4712743
attap,0.8349892
attar,1.0470842
atuas,1.1485962
audad,0.7537797
auger,1.537365
aught,1.1714903
aulas,1.1403887
aulic,1.3429805
auloi,1.4401728
aulos,1.4276458
aumil,1.2781857
aunes,1.550756
aunts,1.3827214
aurae,1.4112312
aural,1.2349892
aurar,0.9585313
auras,1.2220303
aurei,1.687257
aures,1.6747301
auric,1.424622
auris,1.4980562
aurum,1.0829374
autos,1.4358531
auxin,1.1231102
avale,1.200864
avant,0.99049675
avast,1.0198704
avels,1.4600432
avens,1.4177105
avers,1.5416846
avgas,0.8570194
avine,1.4302375
avion,1.2647948
avise,1.4596112
aviso,1.2941685
avize,1.2077754
avows,1.0984881
avyze,1.1084234
awarn,1.0833694
awato,1.063067
awave,1.0047516
aways,0.9313175
awdls,1.1831534
aweel,1.2285097
aweto,1.5114471
awing,1.1231102
awmry,1.1468682
awned,1.3300216
awner,1.5317495
awols,1.3140389
awork,1.2159827
axels,1.411663
axile,1.42419
axils,1.2349892
axing,1.0552915
axite,1.4323974
axled,1.3045356
axles,1.411663
axman,0.77840173
axmen,1.2311015
axoid,1.1386609
axone,1.3930886
axons,1.2038877
ayahs,1.0112311
ayaya,0.58574516
ayelp,1.4583154
aygre,1.5200864
ayins,1.3568034
ayont,1.3892008
ayres,1.6574514
ayrie,1.6699784
azans,0.9200864
azide,1.3032397
azido,1.137797
azine,1.3809935
azlon,1.2159827
azoic,1.1714903
azole,1.4345572
azons,1.2030238
azote,1.4427645
azoth,1.150324
azuki,0.9719222
azurn,1.2043196
azury,1.1468682
azygy,0.7200864
azyme,1.1727862
azyms,0.9835853
baaed,1.1239741
baals,1.0548596
babas,0.7835853
babel,1.2449244
babes,1.2319654
babka,0.6021598
baboo,0.80043197
babul,0.9861771
babus,0.97321814
bacca,0.70799136
bacco,0.9926566
baccy,0.88207346
bacha,0.8712743
bachs,1.1321814
backs,1.0557235
baddy,0.8522678
baels,1.5110152
baffs,0.8660907
baffy,0.77926564
bafts,1.1524838
baghs,1.0682505
bagie,1.3732182
bahts,1.2267818
bahus,1.136069
bahut,1.1572354
bails,1.3343413
bairn,1.3866091
baisa,1.0604751
baith,1.2393088
baits,1.3425486
baiza,0.8086393
baize,1.2587473
bajan,0.7650108
bajra,0.88725704
bajri,1.1606911
bajus,0.98401725
baked,1.2112311
baken,1.2889849
bakes,1.3183585
bakra,0.962851
balas,1.062635
balds,1.2146869
baldy,1.1278617
baled,1.4038876
bales,1.5110152
balks,1.1421167
balky,1.0552915
balls,1.0669546
bally,0.9801296
balms,1.1835853
baloo,1.0794816
balsa,1.0609071
balti,1.3555076
balun,1.2228942
balus,1.2522678
bambi,0.9174946
banak,0.8406047
banco,1.2298056
bancs,1.2060475
banda,0.9114471
bandh,1.0691144
bands,1.1723542
bandy,1.0855292
baned,1.3615551
banes,1.4686825
bangs,1.1421167
bania,1.0311015
banks,1.099784
banns,1.0164146
bants,1.300648
bantu,1.2311015
banty,1.2138228
banya,0.93174946
bapus,1.1218143
barbe,1.3269979
barbs,1.137797
barby,1.0509719
barca,1.0691144
barde,1.4855292
bardo,1.3200864
bards,1.2963283
bardy,1.2095033
bared,1.4855292
barer,1.3291577
bares,1.5926566
barfi,1.2384449
barfs,1.2259179
baric,1.3425486
barks,1.2237581
barky,1.1369331
barms,1.2652268
barmy,1.1784017
barns,1.3740821
barny,1.2872571
barps,1.2859612
barra,0.88207346
barre,1.3321815
barro,1.1667386
barry,1.0561556
barye,1.5058315
basan,1.0203024
based,1.3909287
basen,1.4686825
baser,1.5926566
bases,1.2315335
basho,1.2293737
basij,1.0660907
basks,0.862635
bason,1.3032397
basse,1.2358531
bassi,1.0591793
basso,1.0704104
bassy,0.9598272
basta,1.0691144
basti,1.3425486
basto,1.3537797
basts,1.063499
bated,1.4120951
bates,1.5192225
baths,1.2267818
batik,1.162851
batta,0.8099352
batts,1.0708424
battu,1.0012959
bauds,1.1321814
bauks,1.0596112
baulk,1.0725702
baurs,1.3339093
bavin,1.0894169
bawds,1.0185745
bawks,0.94600433
bawls,1.1386609
bawns,1.0963283
bawrs,1.2203023
bawty,1.0600432
bayed,1.3041036
bayer,1.5058315
bayes,1.4112312
bayle,1.42419
bayts,1.2431965
bazar,0.8924406
bazoo,0.81468683
beads,1.3909287
beaks,1.3183585
beaky,1.2315335
beals,1.5110152
beams,1.3598272
beamy,1.2730021
beano,1.4924406
beans,1.4686825
beany,1.3818574
beare,1.3429805
bears,1.5926566
beath,1.4159827
beats,1.5192225
beaty,1.4323974
beaus,1.4285097
beaut,1.449676
beaux,1.1775378
bebop,1.012527
becap,1.3071275
becke,0.8695464
becks,1.1192225
bedad,1.1244061
bedel,1.0241901
bedes,1.0112311
bedew,0.82807773
bedim,1.1395248
bedye,0.9287257
beedi,1.0155507
beefs,0.9326134
beeps,0.9926566
beers,1.2047516
beery,1.1179266
beets,1.1313175
befog,1.0812095
begad,1.2535638
begar,1.4552916
begem,0.84276456
begot,1.2799137
begum,1.0272138
beige,0.99784017
beigy,1.1606911
beins,1.3555076
bekah,1.2151188
belah,1.4077754
belar,1.6056155
belay,1.42419
belee,0.8850972
belga,1.3736501
bells,1.1304536
belon,1.3796977
belts,1.4064795
bemad,1.2526997
bemas,1.3598272
bemix,0.99568033
bemud,1.0574514
bends,1.2358531
bendy,1.1490281
benes,1.0889848
benet,1.1101512
benga,1.3313175
benis,1.3555076
benne,0.83023757
benni,1.0924406
benny,0.99308854
bento,1.387905
bents,1.3641468
benty,1.2773218
bepat,1.4017279
beray,1.5058315
beres,1.2129589
bergs,1.3295896
berko,1.3110151
berks,1.2872571
berme,1.0790497
berms,1.3287257
berob,1.2241901
beryl,1.3930886
besat,1.5192225
besaw,1.3149028
besee,0.8721382
beses,0.85183585
besit,1.4060475
besom,1.2578833
besot,1.4172786
besti,1.4060475
bests,1.1269978
betas,1.5192225
beted,1.0323974
betes,1.1395248
beths,1.2902808
betid,1.29892
beton,1.387905
betta,1.2600431
betty,1.0475162
bever,1.0103672
bevor,1.288121
bevue,0.85054
bevvy,0.8164147
bewet,0.9563715
bewig,1.0643629
bezes,0.86652267
bezil,1.1460043
bezzy,0.7688985
bhais,1.2181425
bhaji,0.962851
bhang,1.0388769
bhats,1.2267818
bhels,1.2820734
bhoot,0.8712743
bhuna,1.1066954
bhuts,1.0315335
biach,1.1447084
biali,1.0673866
bialy,1.2475162
bibbs,0.6660907
bibes,1.1187905
biccy,0.7688985
bices,1.3114471
bided,1.0112311
bider,1.3723543
bides,1.2777538
bidet,1.29892
bidis,0.82807773
bidon,1.0829374
bield,1.2907127
biers,1.4794817
biffo,0.77667385
biffs,0.75291574
biffy,0.6660907
bifid,0.65053993
bigae,1.3732182
biggs,0.79395247
biggy,0.70712745
bigha,1.0807775
bight,0.9762419
bigly,0.98444927
bigos,1.0820735
bijou,0.89460045
biked,1.0980562
biker,1.2997841
bikes,1.2051836
bikie,0.9447084
bilbo,0.96673864
bilby,0.8561555
biled,1.2907127
biles,1.3978401
bilgy,0.98444927
bilks,1.0289416
bills,0.9537797
bimah,1.0799136
bimas,1.1831534
bimbo,0.81555074
binal,1.3049676
bindi,0.79222465
binds,1.0591793
biner,1.4501079
bines,1.3555076
bings,1.0289416
bingy,0.9421166
binit,0.92699784
binks,0.98660904
bints,1.187473
biogs,1.0820735
biont,1.2112311
biota,1.3663067
biped,1.1602591
bipod,0.9948164
birds,1.1831534
birks,1.1105832
birle,1.4924406
birls,1.3032397
biros,1.3140389
birrs,1.0298057
birse,1.4794817
birsy,1.2034557
bises,1.1183585
bisks,0.74946004
bisom,1.0812095
bitch,1.0401728
biter,1.5006479
bites,1.4060475
bitos,1.2406048
bitou,1.1710583
bitsy,1.1300216
bitte,1.1468682
bitts,0.9576674
bivia,0.85831535
bivvy,0.6397408
bizes,1.1330453
bizzo,0.7028078
bizzy,0.5922246
blabs,1.0561556
blads,1.2146869
blady,1.1278617
blaer,1.6056155
blaes,1.5110152
blaff,0.8829374
blags,1.1844492
blahs,1.2185745
blain,1.3049676
blams,1.1835853
blart,1.437581
blase,1.5110152
blash,1.2185745
blate,1.5321814
blats,1.3429805
blatt,1.076026
blaud,1.1451404
blawn,1.1092873
blaws,1.1386609
blays,1.2349892
blear,1.6056155
blebs,1.1196544
blech,1.2086393
blees,1.1343412
blent,1.3771058
blert,1.5010799
blest,1.4064795
blets,1.4064795
bleys,1.2984881
blimy,0.9835853
bling,1.0419006
blini,0.9131749
blins,1.1792656
bliny,1.0924406
blips,1.0911447
blist,1.2298056
blite,1.4190065
blits,1.2298056
blive,1.1952484
blobs,0.95421165
blocs,1.1464363
blogs,1.0825053
blook,0.78660905
bloop,0.8488121
blore,1.5036718
blots,1.2410368
blows,1.036717
blowy,0.949892
blubs,0.86090714
blude,1.2086393
bluds,1.0194384
bludy,0.9326134
blued,1.2086393
blues,1.3157667
bluet,1.336933
bluey,1.2289417
bluid,1.0319655
blume,1.1775378
blunk,0.9174946
blurs,1.2211663
blype,1.1809936
boabs,1.0669546
boaks,1.1529157
boars,1.4272138
boart,1.4483801
boats,1.3537797
bobac,0.99308854
bobak,0.886825
bobas,1.0665227
bobol,0.6911447
bobos,0.67818576
bocca,0.9926566
bocce,1.0561556
bocci,0.8794816
boche,1.2194384
bocks,0.9537797
boded,1.0224622
bodes,1.2889849
bodge,1.1516199
bodhi,1.0090712
bodle,1.3019439
boeps,1.2786177
boets,1.4172786
boeuf,1.1490281
boffo,0.500216
boffs,0.76414686
bogan,1.1658747
bogey,1.1719222
boggy,0.7183585
bogie,1.2712743
bogle,1.2717062
bogue,1.1892009
bogus,1.0
bohea,1.4185746
bohos,0.84103674
boils,1.2323974
boing,1.0526998
boink,1.0103672
boite,1.4298056
boked,1.1092873
bokeh,1.1131749
bokes,1.2164147
bokos,0.7645788
bolar,1.4401728
bolas,1.3455724
bolds,1.112743
boles,1.4090713
bolix,0.98142546
bolls,0.9650108
bolos,0.9572354
bolts,1.2410368
bolus,1.150324
bomas,1.1943845
bombe,0.99222463
bombo,0.5390929
bombs,0.80302376
bonce,1.2933046
bonds,1.0704104
boned,1.2596112
boner,1.4613391
bones,1.3667387
bongs,1.0401728
bonie,1.3792657
bonks,0.99784017
bonne,1.1036717
bonny,0.8276458
bonza,1.0514039
bonze,1.1149029
booai,1.0889848
booay,0.98963284
boobs,0.6850972
boody,0.75680345
booed,1.0328294
boofy,0.6863931
boogy,0.7265659
boohs,0.8475162
books,0.7710583
booky,0.68423325
bools,0.9637149
booms,0.812527
boomy,0.7257019
boong,0.78401726
boons,0.9213823
boord,0.93822896
boors,1.0453564
boose,1.1399568
boots,0.9719222
boppy,0.7390929
borak,1.2475162
boral,1.4401728
boras,1.4272138
borde,1.3835853
bords,1.1943845
bored,1.3835853
boree,1.2280778
borel,1.5036718
borer,1.2272139
bores,1.4907128
borgo,0.900216
boric,1.2406048
borks,1.1218143
borms,1.163283
borna,1.3978401
boron,1.0095032
borts,1.3226782
borty,1.2358531
bortz,1.0708424
bosie,1.4086393
bosks,0.76069117
bosky,0.94038874
boson,0.9149028
bosun,1.1079913
botas,1.3537797
botel,1.4302375
botes,1.4172786
bothy,1.038013
botte,1.1580993
botts,0.9688985
botty,0.88207346
bouge,1.1892009
bouks,0.9576674
boult,1.1714903
bouns,1.1079913
bourd,1.124838
bourg,1.0946004
bourn,1.2025918
bouse,1.3265659
bousy,1.05054
bouts,1.1585313
bovid,0.9097192
bowat,1.1706264
bowed,1.1058315
bower,1.3075594
bowes,1.2129589
bowet,1.2341253
bowie,1.2254859
bowls,1.036717
bowne,1.1835853
bowrs,1.1183585
bowse,1.2129589
boxed,1.038013
boxen,1.1157668
boxes,1.1451404
boxla,1.0946004
boxty,0.8902808
boyar,1.3403888
boyau,1.1762419
boyed,1.2021599
boyfs,0.9425486
boygs,0.9827214
boyla,1.2587473
boyos,0.8574514
boysy,0.85572356
bozos,0.6924406
braai,1.1490281
brach,1.2267818
brack,1.150324
bract,1.351188
brads,1.2963283
braes,1.5926566
brags,1.2660908
brail,1.4289417
braks,1.2237581
braky,1.1369331
brame,1.4544276
brane,1.563283
brank,1.1943845
brans,1.3740821
brant,1.3952484
brast,1.424622
brats,1.424622
brava,0.9365011
bravi,1.213391
braws,1.2203023
braxy,1.0656587
brays,1.3166307
braza,0.88725704
braze,1.3408208
bream,1.4544276
brede,1.099352
breds,1.3598272
breem,1.0777538
breer,0.9546436
brees,1.2159827
breid,1.3723543
breis,1.4794817
breme,1.0682505
brens,1.437581
brent,1.4587473
brere,0.9395248
brers,1.2
breve,1.0038877
brews,1.2838013
breys,1.3801296
brier,1.2181425
bries,1.4794817
brigs,1.1529157
briki,0.84449244
briks,1.1105832
brill,1.0470842
brims,1.1520518
brins,1.2609072
brios,1.3140389
brise,1.4794817
briss,1.0323974
brith,1.2082074
brits,1.3114471
britt,1.0444925
brize,1.2276458
broch,1.124838
brock,1.0483801
brods,1.1943845
brogh,1.0609071
brogs,1.1641469
brome,1.3524837
bromo,0.8967603
bronc,1.1987041
brond,1.1650108
brool,1.0609071
broos,1.0479481
brose,1.4907128
brosy,1.2146869
brows,1.1183585
brugh,0.9676026
bruin,1.1913607
bruit,1.2419007
brule,1.4103671
brume,1.2591792
brung,1.0414687
brusk,1.0285097
brust,1.2293737
bruts,1.2293737
buats,1.2604752
buaze,1.1766739
bubal,0.9861771
bubas,0.97321814
bubba,0.70971924
bubbe,0.77321815
bubby,0.49719223
bubus,0.58315337
buchu,0.6699784
bucko,0.88423324
bucks,0.8604752
bucku,0.5935205
budas,1.1321814
budis,1.0190065
budos,1.0302376
buffa,0.79654425
buffe,0.86004317
buffi,0.68336934
buffo,0.6946004
buffs,0.67084235
buffy,0.5840173
bufos,0.9598272
bufty,0.8704104
buhls,1.0233262
buhrs,1.1049676
buiks,0.9464363
buist,1.1473002
bukes,1.1231102
bulbs,0.86090714
bulgy,0.9023758
bulks,0.94686824
bulla,0.9974082
bulls,0.87170625
bulse,1.3157667
bumbo,0.7334773
bumfs,0.7978402
bumph,0.7546436
bumps,0.8578834
bumpy,0.7710583
bunas,1.2099352
bunce,1.2
bunco,1.0345572
bunde,1.1663067
bundh,0.8738661
bunds,0.97710586
bundt,0.9982721
bundu,0.7101512
bundy,0.8902808
bungs,0.94686824
bungy,0.86004317
bunia,1.2224622
bunje,1.0181426
bunjy,0.74211663
bunko,0.92829376
bunks,0.90453565
bunns,0.8211663
bunts,1.1053996
bunty,1.0185745
bunya,1.1231102
buoys,1.05054
buppy,0.6457883
buran,1.3045356
buras,1.3339093
burbs,0.9425486
burds,1.10108
buret,1.4185746
burfi,1.0431966
burgh,0.9676026
burgs,1.0708424
burin,1.1913607
burka,1.1542116
burke,1.2177106
burks,1.0285097
burls,1.2211663
burns,1.1788337
buroo,0.96587473
burps,1.0907128
burqa,1.0794816
burro,0.97149026
burrs,0.9477322
burry,0.86090714
bursa,1.3339093
burse,1.3974082
busby,0.7611231
buses,1.036285
busks,0.6673866
busky,0.8470842
bussu,0.58444923
busti,1.1473002
busts,0.86825055
busty,1.0479481
buteo,1.3477322
butes,1.3239741
butle,1.336933
butoh,1.0552915
butts,0.87559396
butty,0.7887689
butut,0.6038877
butyl,1.0609071
buzzy,0.5101512
bwana,0.83196545
bwazi,0.8863931
byded,0.91187906
bydes,1.1784017
byked,0.9987041
bykes,1.1058315
byres,1.3801296
byrls,1.2038877
byssi,0.84665227
bytes,1.3066955
byway,0.7727862
caaed,1.2021599
cabas,0.9762419
caber,1.5192225
cabob,0.9926566
caboc,0.99438447
cabre,1.5192225
cacas,0.863067
cacks,0.9425486
cacky,0.85572356
cadee,1.2064794
cades,1.4691144
cadge,1.3317494
cadgy,1.0557235
cadie,1.4816414
cadis,1.2924407
cadre,1.5637149
caeca,1.0557235
caese,1.3157667
cafes,1.398704
caffs,0.94427645
caged,1.3317494
cager,1.5334773
cages,1.4388769
cagot,1.2946005
cahow,1.1244061
caids,1.2924407
cains,1.3701944
caird,1.3870411
cajon,1.1261339
cajun,1.0328294
caked,1.2894168
cakes,1.3965442
cakey,1.3097192
calfs,1.2224622
calid,1.3053995
calif,1.2349892
calix,1.161555
calks,1.2203023
calla,0.88423324
calls,1.1451404
calms,1.2617711
calmy,1.174946
calos,1.4237581
calpa,1.0215982
calps,1.2825054
calve,1.3866091
calyx,1.062203
caman,0.9602592
camas,0.98963284
cames,1.438013
camis,1.2613391
camos,1.2725703
campi,1.1438445
campo,1.1550756
camps,1.1313175
campy,1.0444925
camus,1.1792656
caned,1.4397408
caneh,1.4436285
caner,1.6414686
canes,1.5468682
cangs,1.2203023
canid,1.263067
canna,0.8336933
canns,1.0946004
canso,1.3814255
canst,1.3788337
canto,1.4025918
cants,1.3788337
canty,1.2920086
capas,1.0103672
caped,1.3516198
capes,1.4587473
capex,1.2077754
caphs,1.1663067
capiz,1.0302376
caple,1.4717063
capon,1.2639309
capos,1.2933046
capot,1.3144709
capri,1.3766738
capul,1.2129589
carap,1.1049676
carbo,1.3537797
carbs,1.3300216
carby,1.2431965
cardi,1.3870411
cards,1.374514
cardy,1.287689
cared,1.5637149
carer,1.4073434
cares,1.6708423
caret,1.6920086
carex,1.4198704
carks,1.3019439
carle,1.6838013
carls,1.4946004
carns,1.4522678
carny,1.3654428
carob,1.3537797
carom,1.3671706
caron,1.4760259
carpi,1.3766738
carps,1.3641468
carrs,1.2211663
carse,1.6708423
carta,1.2419007
carte,1.6920086
carts,1.5028077
carvy,1.1922246
casas,0.8613391
casco,1.1511879
cased,1.4691144
cases,1.3097192
casks,0.94082075
casky,1.1205183
casts,1.1416847
casus,1.0509719
cates,1.5974082
cauda,0.94946
cauks,1.137797
cauld,1.2233261
cauls,1.3304535
caums,1.1792656
caups,1.2
cauri,1.424622
causa,1.0565875
cavas,0.92526996
caved,1.2665226
cavel,1.3866091
caver,1.4682505
caves,1.3736501
cavie,1.3861771
cawed,1.2859612
cawks,1.0241901
caxon,1.1304536
ceaze,1.07473
cebid,1.2043196
cecal,1.324406
cecum,0.97796977
ceded,0.82289416
ceder,1.1840173
cedes,1.0894169
cedis,1.3559395
ceiba,1.437149
ceili,1.2099352
ceils,1.4760259
celeb,1.0578834
cella,1.3343413
celli,1.2211663
cells,1.2086393
celom,1.3490281
